comments,duration,languages,published_date,date,tags,views,year,month,name,url
58,2065,22,1162253460,2006-10-31,"['TED Prize', 'art', 'cities', 'culture', 'design', 'environment', 'photography', 'pollution', 'social change']",975107,2006,Oct,Edward Burtynsky,"https://www.ted.com/talks/edward_burtynsky_on_manufactured_landscapes
"
33,1609,20,1162253460,2006-10-31,"['TED Prize', 'business', 'disease', 'health care', 'invention', 'medicine', 'science', 'technology']",382996,2006,Oct,Robert Fischell,"https://www.ted.com/talks/robert_fischell_on_medical_inventing
"
105,1280,20,1162944660,2006-11-08,"['culture', 'genetics', 'science', 'statistics', 'technology']",1053758,2006,Nov,Peter Donnelly,"https://www.ted.com/talks/peter_donnelly_shows_how_stats_fool_juries
"
494,805,41,1162944660,2006-11-08,"['culture', 'entertainment', 'faith', 'illusion', 'religion', 'science']",5364639,2006,Nov,Michael Shermer,"https://www.ted.com/talks/michael_shermer_on_believing_strange_things
"
233,1376,22,1163463060,2006-11-14,"['TED Brain Trust', 'biotech', 'business', 'culture', 'future', 'invention', 'robots', 'science', 'technology']",2434344,2006,Nov,Ray Kurzweil,"https://www.ted.com/talks/ray_kurzweil_on_how_technology_will_transform_us
"
149,1200,26,1163463060,2006-11-14,"['choice', 'culture', 'evolution', 'future', 'history', 'philosophy', 'science', 'technology']",1536873,2006,Nov,Kevin Kelly,"https://www.ted.com/talks/kevin_kelly_on_how_technology_evolves
"
52,848,24,1165363860,2006-12-06,"['TED Brain Trust', 'activism', 'art', 'collaboration', 'culture', 'film', 'global issues', 'music', 'social change', 'storytelling']",904215,2006,Dec,Peter Gabriel,"https://www.ted.com/talks/peter_gabriel_fights_injustice_with_video
"
578,210,66,1166055060,2006-12-14,"['business', 'culture', 'entertainment', 'happiness', 'psychology', 'success', 'work']",10841210,2006,Dec,Richard St. John,"https://www.ted.com/talks/richard_st_john_s_8_secrets_of_success
"
95,247,34,1166055060,2006-12-14,"['culture', 'entertainment', 'love', 'performance', 'philosophy', 'poetry']",1813665,2006,Dec,Rives,"https://www.ted.com/talks/rives_controls_the_internet
"
199,198,48,1166055060,2006-12-14,"['culture', 'disease', 'food', 'global issues', 'health', 'health care', 'obesity', 'science']",2299265,2006,Dec,Dean Ornish,"https://www.ted.com/talks/dean_ornish_on_the_world_s_killer_diet
"
85,843,22,1167696660,2007-01-02,"['business', 'cities', 'culture', 'entrepreneur', 'future', 'global development', 'global issues', 'policy', 'poverty', 'social change']",673036,2007,Jan,Robert Neuwirth,"https://www.ted.com/talks/robert_neuwirth_on_our_shadow_cities
"
499,1001,32,1167696660,2007-01-02,"['AIDS', 'Africa', 'business', 'choice', 'climate change', 'culture', 'disaster relief', 'economics', 'environment', 'future']",1391142,2007,Jan,Bjorn Lomborg,"https://www.ted.com/talks/bjorn_lomborg_sets_global_priorities
"
371,1321,36,1168301460,2007-01-09,"['anthropology', 'culture', 'environment', 'film', 'global issues', 'language', 'photography']",2532851,2007,Jan,Wade Davis,"https://www.ted.com/talks/wade_davis_on_endangered_cultures
"
59,1115,29,1168301460,2007-01-09,"['activism', 'art', 'culture', 'design', 'film', 'global issues', 'photography', 'social change', 'storytelling']",882034,2007,Jan,Phil Borges,"https://www.ted.com/talks/phil_borges_on_endangered_cultures
"
203,1046,29,1168992660,2007-01-17,"['astronomy', 'climate change', 'complexity', 'cosmos', 'science', 'social change', 'technology', 'time', 'universe']",2121177,2007,Jan,Martin Rees,"https://www.ted.com/talks/martin_rees_asks_is_this_our_final_century
"
130,1151,23,1168992660,2007-01-17,"['collaboration', 'culture', 'evolutionary psychology', 'global issues', 'war']",1090180,2007,Jan,Robert Wright,"https://www.ted.com/talks/robert_wright_on_optimism
"
47,603,29,1170202260,2007-01-31,"['cities', 'culture', 'design', 'disease', 'health', 'history', 'map', 'science', 'urban planning']",684519,2007,Jan,Steven Johnson,"https://www.ted.com/talks/steven_johnson_tours_the_ghost_map
"
91,1141,24,1170202260,2007-01-31,"['business', 'collaboration', 'culture', 'economics', 'innovation', 'invention', 'media', 'open-source', 'product design']",1409327,2007,Jan,Charles Leadbeater,"https://www.ted.com/talks/charles_leadbeater_on_innovation
"
222,825,0,1170979860,2007-02-09,"['dance', 'entertainment', 'nature', 'performance', 'science', 'science and art']",3051507,2007,Feb,Pilobolus,"https://www.ted.com/talks/pilobolus_perform_symbiosis
"
111,1385,19,1170979860,2007-02-09,"['MacArthur grant', 'United States', 'culture', 'entertainment', 'history', 'interview', 'performance', 'performance art', 'race', 'sports', 'storytelling', 'theater']",978825,2007,Feb,Anna Deavere Smith,"https://www.ted.com/talks/anna_deavere_smith_s_american_character
"
28,869,18,1171843860,2007-02-19,"['MacArthur grant', 'collaboration', 'design', 'innovation', 'invention', 'materials', 'open-source', 'product design', 'technology']",442553,2007,Feb,Saul Griffith,"https://www.ted.com/talks/saul_griffith_on_everyday_inventions
"
64,1038,17,1171843860,2007-02-19,"['code', 'computers', 'culture', 'education', 'engineering', 'invention', 'materials', 'science', 'social change', 'technology']",691814,2007,Feb,Neil Gershenfeld,"https://www.ted.com/talks/neil_gershenfeld_on_fab_labs
"
226,1155,30,1172621460,2007-02-28,"['choice', 'culture', 'happiness', 'health', 'parenting', 'personal growth', 'potential', 'psychology', 'work-life balance']",2441805,2007,Feb,Carl Honoré,"https://www.ted.com/talks/carl_honore_praises_slowness
"
97,1447,26,1175559060,2007-04-03,"['Africa', 'TED Prize', 'business', 'culture', 'economics', 'global issues', 'health care', 'technology']",849859,2007,Apr,Bill Clinton,"https://www.ted.com/talks/bill_clinton_on_rebuilding_rwanda
"
89,1355,26,1175559060,2007-04-03,"['TED Prize', 'ants', 'biodiversity', 'biology', 'ecology', 'global issues', 'insects', 'nature', 'science', 'technology']",1335732,2007,Apr,E.O. Wilson,"https://www.ted.com/talks/e_o_wilson_on_saving_life_on_earth
"
107,1316,23,1175559060,2007-04-03,"['activism', 'art', 'culture', 'global issues', 'media', 'photography', 'poverty', 'social change', 'storytelling', 'war']",1262674,2007,Apr,James Nachtwey,"https://www.ted.com/talks/james_nachtwey_s_searing_pictures_of_war
"
161,1645,31,1175731860,2007-04-05,"['Africa', 'animals', 'culture', 'environment', 'global issues', 'nature', 'primates', 'science']",1663001,2007,Apr,Jane Goodall,"https://www.ted.com/talks/jane_goodall_on_what_separates_us_from_the_apes
"
220,1021,31,1175731860,2007-04-05,"['TED Brain Trust', 'business', 'choice', 'culture', 'marketing', 'storytelling']",5570544,2007,Apr,Seth Godin,"https://www.ted.com/talks/seth_godin_on_sliced_bread
"
114,1211,28,1175731860,2007-04-05,"['DNA', 'culture', 'genetics', 'history', 'invention', 'science', 'storytelling', 'technology']",1520908,2007,Apr,James Watson,"https://www.ted.com/talks/james_watson_on_how_he_discovered_dna
"
88,873,31,1175731860,2007-04-05,"['brain', 'cognitive science', 'culture', 'design', 'illusion', 'psychology']",2138907,2007,Apr,Al Seckel,"https://www.ted.com/talks/al_seckel_says_our_brains_are_mis_wired
"
130,1207,18,1175731860,2007-04-05,"['business', 'cars', 'industrial design', 'innovation', 'invention', 'robots', 'science', 'social change', 'sustainability', 'technology', 'transportation']",680134,2007,Apr,Dean Kamen,"https://www.ted.com/talks/dean_kamen_on_inventing_and_giving
"
49,1340,20,1175731860,2007-04-05,"['DNA', 'TED Brain Trust', 'biotech', 'business', 'culture', 'genetics', 'invention', 'science', 'technology']",690928,2007,Apr,Juan Enriquez,"https://www.ted.com/talks/juan_enriquez_on_genomics_and_our_future
"
86,930,26,1175731860,2007-04-05,"['TED Brain Trust', 'art', 'design', 'happiness', 'typography']",1762302,2007,Apr,Stefan Sagmeister,"https://www.ted.com/talks/stefan_sagmeister_shares_happy_design
"
107,1054,32,1175731860,2007-04-05,"['alternative energy', 'business', 'cities', 'collaboration', 'culture', 'design', 'environment', 'global issues', 'invention', 'sustainability']",1392010,2007,Apr,Alex Steffen,"https://www.ted.com/talks/alex_steffen_sees_a_sustainable_future
"
50,1240,16,1175731860,2007-04-05,"['architecture', 'cities', 'culture', 'design', 'invention']",660909,2007,Apr,Thom Mayne,"https://www.ted.com/talks/thom_mayne_on_architecture_as_connection
"
78,1204,23,1175731860,2007-04-05,"['art', 'business', 'cars', 'design', 'industrial design', 'invention', 'technology', 'transportation']",867495,2007,Apr,Chris Bangle,"https://www.ted.com/talks/chris_bangle_says_great_cars_are_art
"
40,276,28,1175731860,2007-04-05,"['entertainment', 'live music', 'music', 'performance', 'poetry', 'singer']",395769,2007,Apr,Nora York,"https://www.ted.com/talks/nora_york_sings_what_i_want
"
27,850,24,1175731860,2007-04-05,"['business', 'design', 'industrial design', 'product design']",761930,2007,Apr,Paul Bennett,"https://www.ted.com/talks/paul_bennett_finds_design_in_the_details
"
84,891,23,1175731860,2007-04-05,"['Brazil', 'animation', 'art', 'creativity', 'design', 'illusion']",1149090,2007,Apr,Vik Muniz,"https://www.ted.com/talks/vik_muniz_makes_art_with_wire_sugar
"
131,1012,24,1175731860,2007-04-05,"['biotech', 'culture', 'future', 'global issues', 'happiness', 'philosophy', 'technology']",762264,2007,Apr,Nick Bostrom,"https://www.ted.com/talks/nick_bostrom_on_our_biggest_problems
"
127,1399,24,1175731860,2007-04-05,"['DNA', 'animals', 'biology', 'biomimicry', 'design', 'environment', 'evolution', 'fish', 'science', 'technology']",1920434,2007,Apr,Janine Benyus,"https://www.ted.com/talks/janine_benyus_shares_nature_s_designs
"
34,1011,21,1175731860,2007-04-05,"['DNA', 'biodiversity', 'biology', 'biotech', 'ecology', 'entrepreneur', 'genetics', 'invention', 'oceans', 'science', 'technology']",560904,2007,Apr,Craig Venter,"https://www.ted.com/talks/craig_venter_on_dna_and_the_sea
"
47,893,20,1175731860,2007-04-05,"['art', 'entertainment', 'invention', 'music', 'performance', 'software', 'technology']",606311,2007,Apr,Golan Levin,"https://www.ted.com/talks/golan_levin_on_software_as_art
"
335,1045,28,1175731860,2007-04-05,"['animals', 'apes', 'biology', 'culture', 'evolution', 'genetics', 'intelligence', 'language']",2197377,2007,Apr,Susan Savage-Rumbaugh,"https://www.ted.com/talks/susan_savage_rumbaugh_on_apes_that_write
"
143,977,30,1175731860,2007-04-05,"['animals', 'art', 'design', 'evolution', 'fish', 'nature', 'photography', 'storytelling']",1697185,2007,Apr,Frans Lanting,"https://www.ted.com/talks/frans_lanting_s_lyrical_nature_photos
"
57,985,18,1175731860,2007-04-05,"['biology', 'biomechanics', 'oceans', 'online video', 'science', 'technology']",1115081,2007,Apr,Sheila Patek,"https://www.ted.com/talks/sheila_patek_clocks_the_fastest_animals
"
39,163,38,1175819400,2007-04-06,"['climate change', 'environment', 'guitar', 'music', 'performance', 'vocals']",591379,2007,Apr,Jill Sobule,"https://www.ted.com/talks/jill_sobule_sings_to_al_gore
"
34,459,25,1175835900,2007-04-06,"['cello', 'entertainment', 'music', 'performance', 'vocals']",398713,2007,Apr,Caroline Lavelle,"https://www.ted.com/talks/caroline_lavelle_casts_a_spell_on_cello
"
501,1308,31,1175855580,2007-04-06,"['TED Brain Trust', 'brain', 'consciousness', 'culture', 'entertainment', 'illusion', 'self', 'visualizations']",2676717,2007,Apr,Dan Dennett,"https://www.ted.com/talks/dan_dennett_on_our_consciousness
"
296,1929,32,1175881860,2007-04-06,"['creativity', 'entertainment', 'live music', 'music', 'performance']",4165572,2007,Apr,Evelyn Glennie,"https://www.ted.com/talks/evelyn_glennie_shows_how_to_listen
"
231,1205,25,1175882580,2007-04-06,"['architecture', 'business', 'china', 'cities', 'culture', 'design', 'environment', 'global issues', 'sustainability', 'technology']",1426390,2007,Apr,William McDonough,"https://www.ted.com/talks/william_mcdonough_on_cradle_to_cradle_design
"
58,1031,22,1176162180,2007-04-09,"['TED Brain Trust', 'United States', 'business', 'entrepreneur', 'history', 'innovation', 'invention', 'technology', 'web']",754700,2007,Apr,Jeff Bezos,"https://www.ted.com/talks/jeff_bezos_on_the_next_web_innovation
"
58,251,25,1176163140,2007-04-09,"['entertainment', 'memory', 'performance', 'poetry', 'spoken word', 'storytelling']",643078,2007,Apr,Rives,"https://www.ted.com/talks/rives_remixes_ted2006
"
75,378,28,1176586800,2007-04-14,"['composing', 'entertainment', 'guitar', 'memory', 'music', 'performance', 'piano']",513672,2007,Apr,Eddi Reader,"https://www.ted.com/talks/eddi_reader_sings_kiteflyer_s_hill
"
50,312,25,1176586800,2007-04-14,"['composing', 'entertainment', 'guitar', 'music', 'performance', 'performance art', 'piano', 'potential', 'vocals']",428351,2007,Apr,Eddi Reader,"https://www.ted.com/talks/eddi_reader_sings_about_what_you_ve_got
"
588,1172,22,1176688500,2007-04-16,"['God', 'culture', 'disaster relief', 'global issues', 'natural disaster', 'philosophy', 'religion']",616385,2007,Apr,Tom Honey,"https://www.ted.com/talks/tom_honey_on_god_and_the_tsunami
"
6404,1750,42,1176689220,2007-04-16,"['God', 'atheism', 'culture', 'religion', 'science']",4374792,2007,Apr,Richard Dawkins,"https://www.ted.com/talks/richard_dawkins_on_militant_atheism
"
49,1195,16,1176695640,2007-04-16,"['comedy', 'culture', 'humor', 'performance']",609087,2007,Apr,Tom Rielly,"https://www.ted.com/talks/tom_rielly_delivers_a_comic_send_up_of_ted2006
"
39,201,33,1176701700,2007-04-16,"['entertainment', 'live music', 'music', 'performance']",443180,2007,Apr,Rachelle Garniez,"https://www.ted.com/talks/thomas_dolby_and_rachelle_garniez
"
42,858,23,1177632660,2007-04-27,"['business', 'culture', 'economics', 'entertainment', 'marketing', 'technology']",904520,2007,Apr,Chris Anderson,"https://www.ted.com/talks/chris_anderson_of_wired_on_tech_s_long_tail
"
67,311,30,1178040660,2007-05-01,"['entertainment', 'history', 'live music', 'music', 'performance', 'violin']",717002,2007,May,Natalie MacMaster,"https://www.ted.com/talks/natalie_macmaster_fiddles_in_reel_time
"
56,1233,31,1178214660,2007-05-03,"['Google', 'TED Brain Trust', 'business', 'collaboration', 'culture', 'design', 'technology', 'web']",1451846,2007,May,Sergey Brin + Larry Page,"https://www.ted.com/talks/sergey_brin_and_larry_page_on_google
"
72,277,22,1178545440,2007-05-07,"['culture', 'entertainment', 'live music', 'music', 'performance', 'poetry', 'race', 'sports']",577502,2007,May,Stew,"https://www.ted.com/talks/stew_says_black_men_ski
"
328,1184,21,1178958000,2007-05-12,"['alternative energy', 'architecture', 'cars', 'cities', 'consumerism', 'culture', 'design', 'energy', 'transportation']",1683456,2007,May,James Howard Kunstler,"https://www.ted.com/talks/james_howard_kunstler_dissects_suburbia
"
32,1020,19,1179223200,2007-05-15,"['collaboration', 'creativity', 'culture', 'design', 'museums', 'philanthropy', 'science and art', 'water']",779873,2007,May,David Kelley,"https://www.ted.com/talks/david_kelley_on_human_centered_design
"
99,185,44,1179398160,2007-05-17,"['TED Brain Trust', 'business', 'cities', 'culture', 'future', 'global issues', 'poverty', 'technology', 'urban planning']",940913,2007,May,Stewart Brand,"https://www.ted.com/talks/stewart_brand_on_squatter_cities
"
230,1211,29,1179760080,2007-05-21,"['AI', 'brain', 'cognitive science', 'computers', 'intelligence', 'memory', 'science', 'technology']",1371482,2007,May,Jeff Hawkins,"https://www.ted.com/talks/jeff_hawkins_on_how_brain_science_will_change_computing
"
87,1001,22,1179763140,2007-05-21,"['animals', 'biodiversity', 'climate change', 'environment', 'fish', 'global issues', 'oceans', 'science', 'technology']",870412,2007,May,Tierney Thys,"https://www.ted.com/talks/tierney_thys_swims_with_the_giant_sunfish
"
260,450,34,1180226220,2007-05-27,"['collaboration', 'demo', 'microsoft', 'photography', 'software', 'technology', 'virtual reality', 'visualizations']",4772595,2007,May,Blaise Agüera y Arcas,"https://www.ted.com/talks/blaise_aguera_y_arcas_demos_photosynth
"
295,1072,20,1180266840,2007-05-27,"['climate change', 'environment', 'global issues', 'green', 'investment', 'sustainability', 'technology']",805111,2007,May,John Doerr,"https://www.ted.com/talks/john_doerr_sees_salvation_and_profit_in_greentech
"
127,1213,32,1180491120,2007-05-30,"['business', 'corruption', 'global issues', 'investment', 'women', 'women in business']",1044185,2007,May,Ngozi Okonjo-Iweala,"https://www.ted.com/talks/ngozi_okonjo_iweala_on_doing_business_in_africa
"
124,279,31,1181044860,2007-06-05,"['demo', 'interface design', 'software', 'technology']",1479503,2007,Jun,Anand Agarawala,"https://www.ted.com/talks/anand_agarawala_demos_his_bumptop_desktop
"
220,726,31,1181125860,2007-06-06,"['Buddhism', 'God', 'culture', 'global issues', 'happiness', 'peace', 'religion']",1493606,2007,Jun,Robert Thurman,"https://www.ted.com/talks/bob_thurman_says_we_can_be_buddhas
"
14,1477,18,1181625060,2007-06-12,"['New York', 'architecture', 'cities', 'collaboration', 'culture', 'death', 'design', 'disaster relief', 'interview', 'memory', 'urban planning']",404402,2007,Jun,David Rockwell,"https://www.ted.com/talks/david_rockwell_builds_at_ground_zero
"
305,1402,19,1181779860,2007-06-14,"['culture', 'global issues', 'military', 'peace', 'technology', 'terrorism', 'war']",1136037,2007,Jun,Thomas Barnett,"https://www.ted.com/talks/thomas_barnett_draws_a_new_map_for_peace
"
27,214,0,1182184140,2007-06-18,"['cello', 'collaboration', 'culture', 'entertainment', 'live music', 'performance', 'violin']",384641,2007,Jun,Ethel,"https://www.ted.com/talks/ethel_performs_blue_room
"
22,370,25,1182332160,2007-06-20,"['design', 'map', 'microsoft', 'technology', 'virtual reality']",308879,2007,Jun,Stephen Lawler,"https://www.ted.com/talks/stephen_lawler_tours_microsoft_virtual_earth
"
261,1137,35,1182762720,2007-06-25,"['Africa', 'Asia', 'Google', 'economics', 'global development', 'global issues', 'health', 'inequality', 'poverty', 'statistics', 'visualizations']",3243784,2007,Jun,Hans Rosling,"https://www.ted.com/talks/hans_rosling_reveals_new_insights_on_poverty
"
240,1063,24,1182941400,2007-06-27,"['Moon', 'NASA', 'Planets', 'adventure', 'energy', 'exploration', 'mining', 'space', 'technology']",1801117,2007,Jun,Bill Stone,"https://www.ted.com/talks/bill_stone_explores_the_earth_and_space
"
392,926,32,1183412700,2007-07-02,"['TED Brain Trust', 'culture', 'faith', 'meme', 'philosophy', 'religion']",1596067,2007,Jul,Dan Dennett,"https://www.ted.com/talks/dan_dennett_on_dangerous_memes
"
